amenities,beds,developer,district,electoral_div,lease,name,nearest_mrt_name,neighbourhood,property_type,rental,sqft,tenure,travel_time_changi,travel_time_orchard,travel_time_raffles,furnishing,amenities_count,nearest_mrt_dist_min,nearest_mrt_dist_metres,freehold_status,rental_log
"'Clubhouse', 'City View', 'Aircon', 'Jacuzzi', 'Greenery View', 'Tennis Court', 'Walk In Closet', 'Wading Pool', 'Dryer', 'Playground', 'Fitness Corner', 'Parking', 'Washer', 'Lap Pool', 'Security', 'BBQ', 'Balcony''",2,"Hong Realty (Private) Limited,City Developments Ltd",D18,Pasir Ris-Punggol,Flexible,NV Residences,,Pasir Ris,Condo,2300,904,99 Years,31,50,48,Fully Furnished,17,none_nearby,none_nearby,Non-Freehold,7.7406644019172415
"'Clubhouse', 'Gym', 'Swimming Pool', 'Jacuzzi', 'Playground', 'BBQ', 'Tennis Court''",3,,D04,West Coast,Flexible,Reflections At Keppel Bay,Telok Blangah MRT,Bukit Merah,Condo,6900,1604,99 Years,71,33,26,Unknown,7,6,68,Non-Freehold,8.83927669058535
'Parking'',3,,D11,Jalan Besar,Flexible,Minbu Court,,Novena,Condo,3200,1270,Freehold,64,24,29,Partially Furnished,1,none_nearby,none_nearby,Freehold,8.070906088787819
"'Clubhouse', 'Gym', 'Sauna', 'Swimming Pool', 'Wading Pool', 'Jacuzzi', 'Steam Room', 'Playground', 'Fitness Corner', 'Parking', 'Security', 'BBQ', 'Tennis Court''",2,Quay Properties Pte Ltd (Far East Organization),D03,Jalan Besar,Flexible,River Place,,None,Condo,4000,969,99 Years,63,22,21,Unknown,13,none_nearby,none_nearby,Non-Freehold,8.294049640102028
"'Clubhouse', 'Gym', 'Sauna', 'Swimming Pool', 'Wading Pool', 'Squash Court', 'Playground', 'Parking', 'Security', 'BBQ', 'Tennis Court''",2,River Valley Properties Pte Ltd,D10,Tanjong Pagar,Flexible,Valley Park,,Tanglin,Condo,4100,1109,999 Years,65,18,26,Unknown,11,none_nearby,none_nearby,Freehold,8.318742252692399
"'Fun Pool', 'Clubhouse', 'Function Room', 'Basketball Court', 'Water Feature', 'Gym', 'Pool Deck', 'Spa Pavilion', 'Lounge', 'Mini Golf Range', 'Wading Pool', 'Hydrotherapy Pool', 'Steam Room', 'Tennis Court', 'Fitness Corner', 'Parking', 'Pond', 'Security', 'Lap Pool', 'Outdoor Dining', 'BBQ''",1,Mount V Development Pte Ltd,D13,Potong Pasir,Flexible,Bartley Ridge,Bartley MRT,Toa Payoh,Condo,2400,548,99 Years,50,31,29,Unknown,21,3,46,Non-Freehold,7.783224016336037
"'Clubhouse', 'Gym', 'Swimming Pool', 'Jacuzzi', 'Playground', 'Fitness Corner', 'Parking', 'Security', 'BBQ''",4,United Overseas Land Limited,D03,Tanjong Pagar,Flexible,Twin Regency,Tiong Bahru MRT,Bukit Merah,Condo,6500,1776,Freehold,61,22,13,Unknown,9,3,35,Freehold,8.779557455883728
"'Pool Deck', 'Spa Pavilion', 'Wading Pool', 'Tennis Court', 'Lap Pool', 'BBQ''",2,Trusthouse Pte Ltd,D23,Chua Chu Kang,Flexible,Hillsta,Phoenix LRT,Bukit Batok,Condo,2500,753,99 Years,81,28,46,Unknown,6,3,76,Non-Freehold,7.824046010856292
"'Clubhouse', 'Gym', 'Sauna', 'Swimming Pool', 'Wading Pool', 'Jacuzzi', 'Steam Room', 'Playground', 'Fitness Corner', 'Parking', 'Security', 'Lap Pool', 'BBQ''",1,Sophia Residence Development Pte Ltd,D09,Tanjong Pagar,Flexible,Sophia Residence,Dhoby Ghaut MRT,None,Condo,3600,614,Freehold,48,13,13,Unknown,13,5,75,Freehold,8.1886891244442
"'Clubhouse', 'Stove', 'Oven', 'Parking', 'Mid Floor', 'Balcony', 'Closet', 'Greenery View', 'Utility Room', 'Wading Pool', 'Playground', 'Dining Room Furniture', 'Washer', 'Fibre Ready', 'Gym', 'Fridge', 'Aircon', 'Sofa', 'Bed', 'Fitness Corner', 'Security', 'Lap Pool''",3,Freshview Developments Pte Ltd,D03,Tanjong Pagar,Flexible,Echelon,Redhill MRT,Bukit Merah,Condo,4500,1001,99 Years,62,27,15,Fully Furnished,22,2,86,Non-Freehold,8.411832675758411
"'Clubhouse', 'Parking', 'Pavilion', 'Basketball Court', 'Aircon', 'TV', 'Lap Pool', 'Gym', 'Pool Deck', 'Waterfall', 'Wading Pool', 'Spa Pool', 'Steam Room', 'Playground', 'Fitness Corner', 'Underwater Fitness Station', 'Pond', 'Washer', 'Reflexology Path', 'Security', 'Tennis Court''",2,Choice Homes Gamma Pte Ltd,D12,Bishan-Toa Payoh,Flexible,Trevista,Braddell MRT,Toa Payoh,Condo,2800,721,99 Years,62,17,23,Unknown,21,4,20,Non-Freehold,7.937374696163295
"'Clubhouse', 'Pool Deck', 'Tennis Court', 'Open Terrace', 'Spa Pool', 'Playground', 'Outdoor Dining', 'Lap Pool', 'BBQ', 'Hydrotherapy Pool''",2,,D04,West Coast,Flexible,Corals At Keppel Bay,HarbourFront MRT,Bukit Merah,Condo,4900,872,99 Years,68,29,22,Unknown,10,6,63,Non-Freehold,8.496990484098719
"'Clubhouse', 'Stove', 'Walk In Closet', 'Jacuzzi', 'Parking', 'Balcony', 'Bomb Shelter', 'Wading Pool', 'Utility Room', 'Playground', 'Washer', 'Fibre Ready', 'BBQ', 'City View', 'Fridge', 'Low Floor', 'Dryer', 'Steam Room', 'Sauna', 'Dishwasher', 'Aircon', 'Swimming Pool', 'Security', 'Bathtub', 'Lap Pool''",4,Far East Organization,D09,Tanjong Pagar,Flexible,Skyline @ Orchard Boulevard,Orchard MRT,River Valley,Condo,12700,2067,Freehold,55,5,15,Unknown,25,4,46,Freehold,9.449357272446683
"'Fun Pool', 'City View', 'Renovated', 'Aircon', 'Water Feature', 'Reflexology Path', 'Bed', 'Lounge', 'Wading Pool', 'Jacuzzi', 'Playground', 'High Floor', 'Security', 'Lap Pool', 'Outdoor Dining', 'BBQ', 'Basketball Court''",1,SL Capital,D08,Jalan Besar,less_than_24m,Sturdee Residences,,Kallang,Condo,2830,420,99 Years,51,23,23,Partially Furnished,17,none_nearby,none_nearby,Non-Freehold,7.948031990637284
"'Clubhouse', 'Aircon', 'Stove', 'Fridge', 'Bed', 'Swimming Pool', 'Utility Room', 'Tennis Court', 'Parking', 'Mid Floor', 'Washer', 'Pool View', 'Balcony''",3,MCL Land,D18,Pasir Ris-Punggol,Flexible,Ripple Bay,,Pasir Ris,Condo,3000,1087,99 Years,46,60,52,Partially Furnished,13,none_nearby,none_nearby,Non-Freehold,8.006367567650246
"'Clubhouse', 'Renovated', 'Gym', 'Sauna', 'Swimming Pool', 'Wading Pool', 'Playground', 'Parking', 'Security', 'BBQ', 'Tennis Court''",4,Frasers Centrepoint Homes,D27,Nee Soon,Flexible,Yishun Sapphire,,Yishun,Condo,3300,1410,99 Years,58,41,46,Fully Furnished,11,none_nearby,none_nearby,Non-Freehold,8.101677747454572
"'Swimming Pool', 'Security', 'Wading Pool', 'Parking''",1,Tan Tong Meng Co Pte Ltd,D11,Jalan Besar,Flexible,Tan Tong Meng Tower,,Novena,Condo,1500,650,Freehold,62,20,27,Unknown,4,none_nearby,none_nearby,Freehold,7.313220387090301
"'Clubhouse', 'Pavilion', 'Water Feature', 'Gym', 'Pool Deck', 'Timber Deck', 'Spa Pavilion', 'Spa Pool', 'Wading Pool', 'Jacuzzi', 'Steam Room', 'Playground', 'Fitness Corner', 'Parking', 'Security', 'Lap Pool', 'BBQ', 'Tennis Court''",4,Calne Pte Ltd,D10,Tanjong Pagar,Flexible,Parvis,Holland Village MRT,Bukit Timah,Condo,11800,2788,Freehold,67,20,30,Partially Furnished,18,6,84,Freehold,9.375854810453756
"'Clubhouse', 'Stove', 'Spa Pavilion', 'Jacuzzi', 'Pond', 'Balcony', 'City View', 'Closet', 'Pool Deck', 'Wading Pool', 'Playground', 'Washer', 'Sky Terrace', 'BBQ', 'Hydrotherapy Pool', 'Gym', 'Fridge', 'Infinity Pool', 'Aircon', 'Bed', 'High Floor', 'Security', 'Lap Pool''",4,,D03,Tanjong Pagar,Flexible,The Regency At Tiong Bahru,,Bukit Merah,Condo,6700,1636,Freehold,66,30,18,Fully Furnished,23,none_nearby,none_nearby,Freehold,8.809862805379057
"'Swimming Pool', 'Gym', 'Jacuzzi', 'Wading Pool', 'BBQ''",2,,D28,Ang Mo Kio,Flexible,Floraville,,Ang Mo Kio,Condo,2000,619,Freehold,54,44,40,Unknown,5,none_nearby,none_nearby,Freehold,7.600902459542082
"'Stove', 'Jacuzzi', 'Oven', 'Parking', 'Renovated', 'Closet', 'Greenery View', 'Wading Pool', 'Utility Room', 'Playground', 'Washer', 'Fibre Ready', 'BBQ', 'Gym', 'Fridge', 'Sauna', 'Low Floor', 'Dryer', 'Tennis Court', 'Aircon', 'Swimming Pool', 'Spa Pool', 'Security', 'Bathtub''",3,Lucky Realty Co Pte Ltd (Far East Organization),D10,Tanjong Pagar,greater_than_or_equal_24m,Gardenville,,Tanglin,Condo,6600,1808,Freehold,59,12,22,Partially Furnished,24,none_nearby,none_nearby,Freehold,8.794824928014517
"'Function Room', 'Retail Shops', 'Gym', 'Pool Deck', 'Rooftop Pool', 'Spa Pool', 'Wading Pool', 'Jacuzzi', 'Playground', 'Viewing Deck', 'Underwater Fitness Station', 'Outdoor Dining', 'Sauna', 'Lap Pool', 'BBQ', 'Open Terrace''",2,M+S Pte Ltd (A Company Owned By Khazanah And Temasek),D07,Jalan Besar,Flexible,Duo Residences / Duo Tower,Bugis MRT,None,Condo,5900,936,99 Years,50,20,12,Unknown,16,3,46,Non-Freehold,8.68270762989381
"'Clubhouse', 'Aircon', 'Maid Room', 'Gym', 'Fridge', 'Sauna', 'Low Floor', 'Swimming Pool', 'Playground', 'Washer', 'Security', 'BBQ', 'Tennis Court''",4,Midpoint Properties Pte Ltd,D09,Tanjong Pagar,Flexible,Tiara,,None,Condo,5000,1561,Freehold,62,16,25,Partially Furnished,13,none_nearby,none_nearby,Freehold,8.517193191416238
"'City View', 'Security', 'Closet', 'Aircon', 'Maid Room', 'Greenery View', 'Gym', 'Dishwasher', 'Fridge', 'Swimming Pool', 'Utility Room', 'Dryer', 'Playground', 'Oven', 'Parking', 'Washer', 'Bathtub', 'Stove', 'BBQ', 'Games Room''",3,Shaw Realty,D09,Tanjong Pagar,greater_than_or_equal_24m,Hullet Rise,Somerset MRT,Newton,Condo,4500,1147,Freehold,50,12,14,Partially Furnished,20,4,27,Freehold,8.411832675758411
"'Clubhouse', 'Security', 'Aircon', 'Closet', 'Sofa', 'Stove', 'Fridge', 'Bed', 'Sauna', 'Swimming Pool', 'Wading Pool', 'Tennis Court', 'Playground', 'Parking', 'Dining Room Furniture', 'Washer', 'Gym', 'BBQ', 'Balcony''",2,Melville Park Development Pte Ltd (First Capital Corporation),D18,East Coast,Flexible,Melville Park,,Tampines,Condo,2600,936,99 Years,35,49,41,Fully Furnished,19,none_nearby,none_nearby,Non-Freehold,7.8632667240095735
"'Fun Pool', 'Clubhouse', 'Function Room', 'Pavilion', 'Gym', 'Pool Deck', 'Playground', 'Sauna', 'Lounge', 'Mini Golf Range', 'Spa Pool', 'Steam Room', 'Tennis Court', 'Fitness Corner', 'Viewing Deck', 'Lap Pool', 'BBQ', 'Hydrotherapy Pool''",4,Bukit Sembawang Estates Ltd,D09,Tanjong Pagar,Flexible,Paterson Suites,Orchard MRT,River Valley,Condo,10000,2196,Freehold,57,7,16,Unknown,18,5,90,Freehold,9.210340371976184
"'Clubhouse', 'Gym', 'Pool Deck', 'Lounge', 'Swimming Pool', 'Jacuzzi', 'Playground', 'Fitness Corner', 'Parking', 'Security', 'BBQ', 'Tennis Court''",1,Gem Homes Pte Ltd,D12,Bishan-Toa Payoh,Flexible,Gem Residences,,Toa Payoh,Condo,2200,485,99 Years,65,21,26,Fully Furnished,12,none_nearby,none_nearby,Non-Freehold,7.696212639346407
"'Jogging Track', 'Clubhouse', 'Function Room', 'Water Feature', 'Oven', 'Parking', 'Sky Terrace', 'Fun Pool', 'City View', 'Pool Deck', 'Playground', 'BBQ', 'Gym', 'Fridge', 'Steam Room', 'Tennis Court', 'Karaoke', 'Aircon', 'Spa Pool', 'Study Room', 'Fitness Corner', 'High Floor', 'Security', 'Retail Shops', 'Lap Pool''",1,"City Developments Ltd,AIG Global Real Estate",D01,Jalan Besar,Flexible,The Sail @ Marina Bay,Downtown MRT,None,Condo,3500,614,99 Years,51,17,5,Fully Furnished,25,3,16,Non-Freehold,8.160518247477505
"'Tennis Court', 'Security', 'Renovated', 'Aircon', 'Squash Court', 'Greenery View', 'Gym', 'Fridge', 'Sauna', 'Low Floor', 'Swimming Pool', 'Utility Room', 'Dryer', 'Playground', 'Oven', 'Parking', 'Washer', 'Closet', 'Stove', 'BBQ', 'Balcony''",3,Glory Realty Co Pte Ltd (Far East Organization),D10,Tanjong Pagar,greater_than_or_equal_24m,Spanish Village,Farrer Road MRT,Tanglin,Condo,4200,1701,Freehold,67,20,31,Partially Furnished,21,4,47,Freehold,8.34283980427146
"'Clubhouse', 'Jet Pool', 'Aircon', 'Sofa', 'Gym', 'Open Terrace', 'Fridge', 'Sauna', 'Hydrotherapy Pool', 'Wading Pool', 'Jacuzzi', 'Steam Room', 'Tennis Court', 'Washer', 'Hydrotherapy Pool', 'Lap Pool', 'Security', 'BBQ', 'Playground''",1,Lucky Pinnacle Pte Ltd (Far East),D02,Jalan Besar,Flexible,Icon,Tanjong Pagar MRT,None,Condo,3600,700,99 Years,57,21,9,Fully Furnished,19,2,94,Non-Freehold,8.1886891244442
"'Gym', 'Swimming Pool', 'Playground', 'Parking', 'Security', 'BBQ', 'Tennis Court''",4,HDB,D15,Marine Parade,Flexible,Laguna Park,,Bedok,Condo,3300,1615,99 Years,30,41,38,Unknown,7,none_nearby,none_nearby,Non-Freehold,8.101677747454572
"'Clubhouse', 'Gym', 'Wading Pool', 'Steam Room', 'Playground', 'Parking', 'Security', 'Lap Pool''",3,Hiap Hoe Superbowl Jv Pte Ltd,D10,Tanjong Pagar,Flexible,Treasure On Balmoral,,Tanglin,Condo,6200,1765,Freehold,60,13,22,Unknown,8,none_nearby,none_nearby,Freehold,8.732304571033183
"'Bomb Shelter', 'Aircon', 'Water Feature', 'TV', 'Sofa', 'Pool Deck', 'Fridge', 'Swimming Pool', 'Wading Pool', 'Jacuzzi', 'Playground', 'Fitness Corner', 'Parking', 'BBQ', 'Balcony''",1,Abacus Development Pte Ltd,D15,Marine Parade,Flexible,Naturalis,,Bedok,Condo,2500,517,Freehold,43,40,33,Fully Furnished,15,none_nearby,none_nearby,Freehold,7.824046010856292
"'Clubhouse', 'Stove', 'Jacuzzi', 'Oven', 'Parking', 'Balcony', 'Bomb Shelter', 'Closet', 'TV', 'Greenery View', 'Wading Pool', 'Playground', 'Fibre Ready', 'BBQ', 'Gym', 'Fridge', 'Sauna', 'Low Floor', 'Dryer', 'Aircon', 'Sofa', 'Bed', 'Swimming Pool', 'Fitness Corner', 'Security''",1,Rl Developments Pte Ltd,D02,Tanjong Pagar,greater_than_or_equal_24m,Spottiswoode 18,,Bukit Merah,Condo,2300,387,Freehold,63,23,19,Fully Furnished,25,none_nearby,none_nearby,Freehold,7.7406644019172415
"'Gym', 'Sauna', 'Swimming Pool', 'Jacuzzi', 'Playground', 'Parking', 'BBQ''",3,Far East Organization,D09,Tanjong Pagar,Flexible,Cavenagh Lodge,,Newton,Condo,4500,1392,99 Years,56,18,26,Unknown,7,none_nearby,none_nearby,Non-Freehold,8.411832675758411
"'Clubhouse', 'Stove', 'Spa Pavilion', 'Jacuzzi', 'Oven', 'Pond', 'Sky Terrace', 'Balcony', 'Bomb Shelter', 'Closet', 'Pool Deck', 'Wading Pool', 'Playground', 'Dining Room Furniture', 'Washer', 'Fibre Ready', 'BBQ', 'Hydrotherapy Pool', 'Gym', 'City View', 'Fridge', 'Infinity Pool', 'Aircon', 'Sofa', 'Bed', 'High Floor', 'Security', 'Lap Pool''",4,,D03,Tanjong Pagar,greater_than_or_equal_24m,The Regency At Tiong Bahru,,Bukit Merah,Condo,6800,1636,Freehold,66,30,18,Fully Furnished,28,none_nearby,none_nearby,Freehold,8.824677891164198
"'Gym', 'Swimming Pool', 'Squash Court', 'Parking', 'Security', 'BBQ''",5,Far East Organization,D09,Tanjong Pagar,Flexible,The Cairnhill,,Newton,Condo,6900,2809,Freehold,55,17,26,Partially Furnished,6,none_nearby,none_nearby,Freehold,8.83927669058535
"'Clubhouse', 'Jet Pool', 'Function Room', 'Aircon', 'Water Feature', 'Yoga Corner', 'Gym', 'Mini Golf Range', 'Fridge', 'Dual Key', 'Viewing Deck', 'Lounge', 'Swimming Pool', 'Jacuzzi', 'Playground', 'Fitness Corner', 'High Floor', 'Outdoor Dining', 'Reflexology Path', 'BBQ', 'Balcony''",0,Bayfront Ventures Pte Ltd,D07,Jalan Besar,Flexible,City Gate,Nicoll Highway MRT,Kallang,Condo,2000,258,99 Years,51,23,18,Partially Furnished,21,4,22,Non-Freehold,7.600902459542082
"'City View', 'Aircon', 'Gym', 'Swimming Pool', 'Wading Pool', 'Playground', 'Parking', 'Security', 'BBQ''",4,Tan Chwee Boon Pte Ltd,D10,Tanjong Pagar,greater_than_or_equal_24m,The Draycott,,Newton,Condo,8500,2700,Freehold,58,13,20,Partially Furnished,9,none_nearby,none_nearby,Freehold,9.047821442478408
"'Swimming Pool', 'Wading Pool', 'Jacuzzi', 'Fitness Corner', 'Parking', 'Pond', 'Security''",1,Wheelock Properties (S) Ltd,D09,Tanjong Pagar,Flexible,Scotts Square,Orchard MRT,Orchard,Condo,4300,624,Freehold,50,3,14,Unknown,7,2,72,Freehold,8.366370301681654
"'Lounge', 'City View', 'Bathtub', 'Aircon', 'TV', 'Stove', 'Fridge', 'Jacuzzi', 'Swimming Pool', 'Dryer', 'Oven', 'High Floor', 'Washer', 'Fibre Ready', 'Gym', 'BBQ''",2,,D09,Tanjong Pagar,less_than_24m,The Peak @ Cairnhill II,Newton MRT,Newton,Condo,4500,904,Freehold,58,14,20,Fully Furnished,16,6,82,Freehold,8.411832675758411
"'Clubhouse', 'Gym', 'Swimming Pool', 'Wading Pool', 'Squash Court', 'Playground', 'Parking', 'Security', 'BBQ', 'Tennis Court''",2,United Engineering Ltd,D09,Tanjong Pagar,Flexible,UE Square,,None,Condo,4500,1100,929 Years,59,19,22,Fully Furnished,10,none_nearby,none_nearby,Freehold,8.411832675758411
"'Clubhouse', 'Bomb Shelter', 'Security', 'Aircon', 'Greenery View', 'Fridge', 'Wading Pool', 'Dryer', 'Steam Room', 'Playground', 'Oven', 'Parking', 'Washer', 'Bathtub', 'Lap Pool', 'Gym', 'Balcony''",4,Hiap Hoe Superbowl Jv Pte Ltd,D10,Tanjong Pagar,Flexible,Treasure On Balmoral,,Tanglin,Condo,7400,2023,Freehold,60,13,22,Partially Furnished,17,none_nearby,none_nearby,Freehold,8.909235279192261
"'Jogging Track', 'Clubhouse', 'Function Room', 'Water Feature', 'Jacuzzi', 'Parking', 'Outdoor Dining', 'Pool Deck', 'Lounge', 'Wading Pool', 'Hydrotherapy Pool', 'BBQ', 'Hydrotherapy Pool', 'Gym', 'Sauna', 'Tennis Court', 'Underwater Fitness Station', 'Meeting Room', 'Infinity Pool', 'Yoga Corner', 'Pavilion', 'Hammocks', 'Swimming Pool', 'Spa Pool', 'Fitness Corner', 'Security''",3,Bayfront Realty Pte Ltd,D16,East Coast,Flexible,Urban Vista,Tanah Merah MRT,Bedok,Condo,3099,850,99 Years,29,35,27,Unknown,26,3,25,Non-Freehold,8.038834757787749
"'Clubhouse', 'Gym', 'Wading Pool', 'Jacuzzi', 'Playground', 'Fitness Corner', 'Parking', 'Security', 'Lap Pool', 'BBQ''",0,Sim Lian Jv (Bp Retail) Pte Ltd,D23,Holland-Bukit Timah,Flexible,Hillion Residences,Bukit Panjang MRT/LRT,Bukit Panjang,Condo,2100,474,99 Years,71,31,37,Unknown,10,0,8,Non-Freehold,7.649692623711514
"'Clubhouse', 'High Ceiling', 'Stove', 'Jacuzzi', 'Oven', 'Parking', 'City View', 'Renovated', 'Closet', 'Wading Pool', 'Washer', 'Fibre Ready', 'BBQ', 'Gym', 'Fridge', 'Dryer', 'Steam Room', 'Aircon', 'Bed', 'Sea View', 'High Floor', 'Security', 'Lap Pool''",2,70 Shenton Pte Ltd,D02,Jalan Besar,greater_than_or_equal_24m,Eon Shenton,Tanjong Pagar MRT,None,Condo,4180,1087,99 Years,58,22,10,Unknown,23,4,89,Non-Freehold,8.338066525518801
"'Clubhouse', 'Spa Pavilion', 'Swimming Pool', 'Wading Pool', 'Playground', 'Fitness Corner', 'Lap Pool', 'BBQ''",2,CH Residential Pte Ltd & CH Commercial Pte Ltd,D09,Tanjong Pagar,Flexible,Cairnhill Nine,Somerset MRT,Orchard,Condo,6500,1033,99 Years,50,12,15,Unknown,8,5,16,Non-Freehold,8.779557455883728
',2,,D09,Tanjong Pagar,Flexible,Lucky Plaza,Orchard MRT,Orchard,Condo,3500,830,Freehold,50,4,14,Partially Furnished,1,2,63,Freehold,8.160518247477505
"'Security', 'Parking''",2,,D22,Yuhua,Flexible,J Gateway,Jurong East MRT,Jurong East,Condo,3100,743,99 Years,78,38,31,Unknown,2,2,78,Non-Freehold,8.039157390473237
"'Jogging Track', 'Pool Deck', 'Yoga Corner', 'Aircon', 'Gym', 'Open Terrace', 'Driving Range', 'Spa Pool', 'Wading Pool', 'Waterfall', 'Playground', 'Fitness Corner', 'Parking', 'Pond', 'Security', 'Lap Pool', 'BBQ', 'Tennis Court''",1,Kingsford Development Pte Ltd,D23,Chua Chu Kang,Flexible,Kingsford . Hillview Peak,Hillview MRT,Bukit Batok,Condo,2700,505,99 Years,73,33,39,Partially Furnished,18,6,45,Non-Freehold,7.90100705199242
"'Clubhouse', 'Gym', 'Swimming Pool', 'Jacuzzi', 'Playground', 'BBQ', 'Tennis Court''",3,,D04,West Coast,Flexible,Reflections At Keppel Bay,Telok Blangah MRT,Bukit Merah,Condo,5800,1281,99 Years,71,33,26,Unknown,7,6,68,Non-Freehold,8.66561319653451
"'Swimming Pool', 'Security', 'Wading Pool', 'Playground', 'Parking''",2,Liang Court Technopark Pte Ltd,D04,Radin Mas,Flexible,Harbourlights,Sentosa LRT,Bukit Merah,Condo,2700,775,Freehold,62,24,17,Unknown,5,1,40,Freehold,7.90100705199242
"'Penthouse', 'Clubhouse', 'Walk In Closet', 'Sea View', 'Oven', 'Parking', 'Balcony', 'Greenery View', 'Wading Pool', 'Playground', 'Washer', 'Pool View', 'BBQ', 'Gym', 'Fridge', 'Sauna', 'Tennis Court', 'Aircon', 'Maid Room', 'Swimming Pool', 'High Floor', 'Security''",5,Dover Rise Ltd (Far East Organization),D05,West Coast,Flexible,Heritage View,,Queenstown,Condo,8800,2626,99 Years,79,35,34,Partially Furnished,22,none_nearby,none_nearby,Non-Freehold,9.082507000466299
"'Multi-purpose Hall', 'Water Feature', 'Gym', 'Pool Deck', 'Karaoke', 'Hydrotherapy Pool', 'Fountain', 'Playground', 'Steam Room', 'Security', 'Lap Pool', 'Outdoor Dining', 'BBQ', 'Hydrotherapy Pool''",2,United Venture Development (Thomson) Pte. Ltd.,D20,Bishan-Toa Payoh,Flexible,Thomson Three,,Bishan,Condo,2400,732,99 Years,65,31,38,Unknown,14,none_nearby,none_nearby,Non-Freehold,7.783224016336037
"'Security', 'Loft', 'Aircon', 'Swimming Pool', 'High Ceiling', 'Sofa', 'Stove', 'Parking', 'Fridge', 'Bed', 'Sauna', 'Jacuzzi', 'TV', 'Dryer', 'Dining Room Furniture', 'High Floor', 'Washer', 'Closet', 'Lap Pool', 'Gym', 'Renovated''",2,Natwest Development Pte Ltd (Far East Organization),D01,Jalan Besar,Flexible,The Clift,Telok Ayer MRT,None,Condo,6200,1076,99 Years,54,23,11,Fully Furnished,21,4,29,Non-Freehold,8.732304571033183
"'Bomb Shelter', 'Pavilion', 'Basketball Court', 'Aircon', 'Maid Room', 'Gym', 'Pool Deck', 'Fridge', 'Swimming Pool', 'Dryer', 'Playground', 'Fitness Corner', 'High Floor', 'Washer', 'BBQ', 'Balcony''",3,Oxley-Lian Beng Pte Ltd,D19,Aljunied,Flexible,Midtown Residences,Hougang MRT,Hougang,Condo,3000,688,99 Years,50,34,33,Partially Furnished,16,4,96,Non-Freehold,8.006367567650246
"'Jogging Track', 'Clubhouse', 'Water Feature', 'Stove', 'Jacuzzi', 'Oven', 'Parking', 'Pond', 'Fun Pool', 'Basketball Court', 'Closet', 'Pool Deck', 'Lounge', 'Wading Pool', 'Playground', 'Washer', 'BBQ', 'Audio System', 'Gym', 'Fridge', 'Sauna', 'Aircon', 'Swimming Pool', 'Fitness Corner', 'Security', 'Reflexology Path''",2,Holland Village Development Pte Ltd,D10,Tanjong Pagar,Flexible,Holland Residences,Holland Village MRT,Bukit Timah,Condo,4300,979,Freehold,68,21,29,Partially Furnished,26,5,77,Freehold,8.366370301681654
"'Security', 'Aircon', 'Closet', 'Jacuzzi', 'Stove', 'Pool Deck', 'Fridge', 'Sea View', 'Swimming Pool', 'Dryer', 'Tennis Court', 'Oven', 'Parking', 'High Floor', 'Washer', 'Gym', 'Basketball Court''",1,Bs Shenton Pte Ltd,D02,Jalan Besar,greater_than_or_equal_24m,Lumiere,Tanjong Pagar MRT,None,Condo,3200,678,99 Years,57,22,10,Partially Furnished,17,3,42,Non-Freehold,8.070906088787819
"'Clubhouse', 'Gym', 'Swimming Pool', 'Jacuzzi', 'Playground', 'Fitness Corner', 'Parking', 'Security', 'BBQ''",4,United Overseas Land Limited,D03,Tanjong Pagar,Flexible,Twin Regency,Tiong Bahru MRT,Bukit Merah,Condo,7300,1776,Freehold,61,22,13,Unknown,9,3,35,Freehold,8.895629627136483
"'Clubhouse', 'Function Room', 'Water Feature', 'Gym', 'Pool Deck', 'Swimming Pool', 'Wading Pool', 'Jacuzzi', 'Parking', 'Security', 'BBQ''",1,Allgreen Properties,D09,Tanjong Pagar,greater_than_or_equal_24m,Suites At Orchard,Dhoby Ghaut MRT,None,Condo,5000,850,99 Years,47,11,11,Unknown,11,2,2,Non-Freehold,8.517193191416238
"'Timber Deck', 'Oven', 'Parking', 'Balcony', 'Fun Pool', 'City View', 'TV', 'Pool Deck', 'Lounge', 'Wading Pool', 'Playground', 'Dining Room Furniture', 'Washer', 'BBQ', 'Gym', 'Fridge', 'Steam Room', 'Infinity Pool', 'Pavilion', 'Aircon', 'Bed', 'Viewing Deck', 'Swimming Pool', 'Fitness Corner', 'High Floor', 'Security''",1,Valley Development Pte Ltd (Kheng Leong),D03,Tanjong Pagar,Flexible,Domain 21,,Bukit Merah,Condo,2900,560,99 Years,65,18,24,Partially Furnished,26,none_nearby,none_nearby,Non-Freehold,7.9724660159745655
',2,,D15,Mountbatten,Flexible,Eight@18Fort,,Marine Parade,Condo,4300,1363,Freehold,49,31,25,Unknown,1,none_nearby,none_nearby,Freehold,8.366370301681654
"'Clubhouse', 'Concierge', 'Jacuzzi', 'Oven', 'Outdoor Dining', 'Balcony', 'City View', 'Renovated', 'Pool Deck', 'Lounge', 'Wading Pool', 'Hydrotherapy Pool', 'Dining Room Furniture', 'Washer', 'BBQ', 'Gym', 'Fridge', 'Multi-purpose Hall', 'Pavilion', 'Aircon', 'Bed', 'Mini Golf Range', 'Study Room', 'Fitness Corner', 'High Floor', 'Lap Pool''",2,Ms Residential 1 Pte. Ltd. / Ms Residential 2 Pte. Ltd.,D01,Jalan Besar,less_than_24m,Marina One Residences,Marina Bay MRT,None,Condo,4500,753,99 Years,50,16,8,Partially Furnished,26,2,60,Non-Freehold,8.411832675758411
